id_mutation,date_mutation,code_type_local,code_commune,surface_terrain,surface_reelle_bati,nombre_pieces_principales,valeur_fonciere,latitude,longitude,nombre_lots,Prix_m2,Year,Month,prix_m2_moy_surf_habit,prix_m2_moy_terrain
2021-140981,2021-02-26,2.0,13204,0.0,82.0,4.0,160000.0,43.296809,5.401409,1,1951.219512195122,2021,2,2721.7173060895752,12027.867705044877
2021-140988,2021-02-18,2.0,13204,0.0,120.0,5.0,340000.0,43.301321,5.393049,2,2833.3333333333335,2021,2,2721.7173060895752,12027.867705044877
2021-140992,2021-03-05,2.0,13204,0.0,54.0,3.0,140000.0,43.298249,5.406714,1,2592.5925925925926,2021,3,2721.7173060895752,12027.867705044877
2021-140993,2021-02-15,2.0,13204,0.0,52.0,3.0,104000.0,43.298246,5.399063,1,2000.0,2021,2,2721.7173060895752,12027.867705044877
2021-141002,2021-02-22,2.0,13204,0.0,50.0,3.0,110000.0,43.309635,5.401026,1,2200.0,2021,2,2721.7173060895752,12027.867705044877
2021-141004,2021-03-05,2.0,13204,0.0,51.0,2.0,88000.0,43.311538,5.403286,2,1725.4901960784314,2021,3,2721.7173060895752,12027.867705044877
2021-141011,2021-03-01,2.0,13204,110.0,126.0,5.0,250000.0,43.307571,5.402551,0,1984.126984126984,2021,3,2721.7173060895752,12027.867705044877
2021-141012,2021-03-02,2.0,13204,0.0,50.0,2.0,183870.0,43.309513,5.400309,2,3677.4,2021,3,2721.7173060895752,12027.867705044877
2021-141013,2021-03-10,2.0,13204,0.0,60.0,3.0,155000.0,43.301479,5.401882,1,2583.3333333333335,2021,3,2721.7173060895752,12027.867705044877
2021-141018,2021-02-19,1.0,13204,72.0,116.0,5.0,205000.0,43.305735,5.402563,0,1767.2413793103449,2021,2,2721.7173060895752,12027.867705044877
2021-141037,2021-03-08,2.0,13204,194.0,123.0,6.0,469500.0,43.310603,5.406271,0,3817.0731707317073,2021,3,2721.7173060895752,12027.867705044877
2021-141039,2021-03-04,2.0,13204,0.0,88.0,3.0,151900.0,43.300465,5.400431,1,1726.1363636363637,2021,3,2721.7173060895752,12027.867705044877
2021-141056,2021-03-08,2.0,13204,0.0,40.0,2.0,100000.0,43.303132,5.404533,1,2500.0,2021,3,2721.7173060895752,12027.867705044877
2021-141066,2021-03-09,2.0,13204,0.0,137.0,5.0,335000.0,43.300039,5.397284,1,2445.2554744525546,2021,3,2721.7173060895752,12027.867705044877
2021-141081,2021-02-24,2.0,13204,0.0,35.0,2.0,83000.0,43.31071,5.393198,1,2371.4285714285716,2021,2,2721.7173060895752,12027.867705044877
2021-141083,2021-02-22,2.0,13204,0.0,90.0,3.0,249000.0,43.302244,5.403995,2,2766.6666666666665,2021,2,2721.7173060895752,12027.867705044877
2021-141087,2021-02-26,2.0,13204,0.0,59.0,3.0,150000.0,43.309782,5.396701,1,2542.3728813559323,2021,2,2721.7173060895752,12027.867705044877
